iter	Passed	Remaining
0	1	1208
1	2	1057
2	2	966
3	3	920
4	6	1194
5	7	1183
6	8	1139
7	8	1114
8	9	1083
9	10	1068
10	11	1057
11	12	1040
12	13	1026
13	14	1009
14	15	1003
15	16	990
16	16	976
17	17	967
18	18	964
19	19	957
20	21	1019
21	22	1015
22	23	1008
23	24	1000
24	25	997
25	26	987
26	27	980
27	28	978
28	28	970
29	29	965
30	30	957
31	31	949
32	32	940
33	32	932
34	33	926
35	35	943
36	36	961
37	37	958
38	38	952
39	39	949
40	40	953
41	41	950
42	42	947
43	43	942
44	44	935
45	44	931
46	45	926
47	46	923
48	47	919
49	48	917
50	49	915
51	50	921
52	51	921
53	52	916
54	53	915
55	54	917
56	55	916
57	56	916
58	57	912
59	57	907
60	58	903
61	59	907
62	60	905
63	61	902
64	62	898
65	63	894
66	63	888
67	64	885
68	65	888
69	66	887
70	67	889
71	68	886
72	69	883
73	70	879
74	71	879
75	72	879
76	73	877
77	74	875
78	74	871
79	75	867
80	76	863
81	76	860
82	77	853
83	77	849
84	78	846
85	79	844
86	80	848
87	82	854
88	83	852
89	84	849
90	85	852
91	86	852
92	87	849
93	87	846
94	88	843
95	89	839
96	90	838
97	90	836
98	91	833
99	92	832
100	93	830
101	93	826
102	94	823
103	95	825
104	97	827
105	97	826
106	99	826
107	99	824
108	100	823
109	101	820
110	102	818
111	103	816
112	104	816
113	104	814
114	105	813
115	106	814
116	107	810
117	108	808
118	108	804
119	109	804
120	110	805
121	112	808
122	113	806
123	113	804
124	114	802
125	115	800
126	116	798
127	117	797
128	117	796
129	118	794
130	119	791
131	119	788
132	120	786
133	121	784
134	122	782
135	122	780
136	123	778
137	124	778
138	125	777
139	126	779
140	127	778
141	128	776
142	129	775
143	130	775
144	131	774
145	132	772
146	132	770
147	133	769
148	134	767
149	135	765
150	136	765
151	137	764
152	137	762
153	138	760
154	139	758
155	140	757
156	141	759
157	142	760
158	143	759
159	144	758
160	145	756
161	145	753
162	146	751
163	147	750
164	148	749
165	148	747
166	149	745
167	150	743
168	150	741
169	151	739
170	152	737
171	152	735
172	153	734
173	154	733
174	155	734
175	157	736
176	158	735
177	159	734
178	160	736
179	161	734
180	162	734
181	162	732
182	163	730
183	164	729
184	165	727
185	166	727
186	166	725
187	167	723
188	168	723
189	169	721
190	169	719
191	171	720
192	172	720
193	173	718
194	173	717
195	174	716
196	175	714
197	175	712
198	176	710
199	177	708
200	177	707
201	178	705
202	179	704
203	180	703
204	180	701
205	181	700
206	182	698
207	183	696
208	183	695
209	184	693
210	185	693
211	186	694
212	187	694
213	188	692
214	189	691
215	190	690
216	191	691
217	192	691
218	193	689
219	193	687
220	194	686
221	195	684
222	196	683
223	196	681
224	197	681
225	198	680
226	199	678
227	200	677
228	201	677
229	202	677
230	203	676
231	204	676
232	204	674
233	205	673
234	206	672
235	207	670
236	207	669
237	208	667
238	209	665
239	210	665
240	210	663
241	211	661
242	211	660
243	212	658
244	213	657
245	213	655
246	214	653
247	215	653
248	217	654
249	218	654
250	218	653
251	219	652
252	220	651
253	221	649
254	221	647
255	222	647
256	224	650
257	225	648
258	226	647
259	226	645
260	227	644
261	228	642
262	229	641
263	229	640
264	231	641
265	232	641
266	233	640
267	233	639
268	234	638
269	235	637
270	236	635
271	237	634
272	237	633
273	238	631
274	239	630
275	239	629
276	240	628
277	241	626
278	241	625
279	242	623
280	243	622
281	244	621
282	245	620
283	246	620
284	247	621
285	248	620
286	249	619
287	250	618
288	250	617
289	251	616
290	252	614
291	252	613
292	253	611
293	254	610
294	254	609
295	255	608
296	256	607
297	257	606
298	257	604
299	258	603
300	259	602
301	260	601
302	261	600
303	262	602
304	263	601
305	264	600
306	266	600
307	266	599
308	267	598
309	268	597
310	269	596
311	269	594
312	270	593
313	271	592
314	271	590
315	272	589
316	273	588
317	274	587
318	274	586
319	275	586
320	277	586
321	278	586
322	279	585
323	280	584
324	281	583
325	281	582
326	282	581
327	283	580
328	283	579
329	284	578
330	285	577
331	286	576
332	287	575
333	287	574
334	288	572
335	289	571
336	290	570
337	292	572
338	293	571
339	294	570
340	295	570
341	295	569
342	296	567
343	297	567
344	298	566
345	299	565
346	299	564
347	300	563
348	301	561
349	301	560
350	302	559
351	303	557
352	303	556
353	305	556
354	307	558
355	308	557
356	309	557
357	310	556
358	312	557
359	312	556
360	313	555
361	314	554
362	315	553
363	316	552
364	316	551
365	317	550
366	318	549
367	319	548
368	320	548
369	322	549
370	324	549
371	325	548
372	325	547
373	326	546
374	327	545
375	328	544
376	328	543
377	329	542
378	330	541
379	331	540
380	332	539
381	332	538
382	333	537
383	334	537
384	337	539
385	338	538
386	339	537
387	340	536
388	341	536
389	342	535
